AppName,ExecutablePath,ShortcutPath,AppUserModelID
Epic Games Launcher,C:\Program Files (x86)\Epic Games\Launcher\Portal\Binaries\Win32\EpicGamesLauncher.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Epic Games Launcher.lnk,
Excel,C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Excel.lnk,
Google Chrome,C:\Program Files\Google\Chrome\Application\chrome.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Google Chrome.lnk,
Microsoft Edge,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Microsoft Edge.lnk,
Morningstreams Desktop Player,C:\Program Files\Morningstreams\Morningstreams Desktop Player\morningstreams-desktop.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Morningstreams Desktop Player.lnk,
OneDrive,C:\Program Files\Microsoft OneDrive\OneDrive.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\OneDrive.lnk,
OneNote,C:\Program Files\Microsoft Office\root\Office16\ONENOTE.EXE,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\OneNote.lnk,
PowerPoint,C:\Program Files\Microsoft Office\root\Office16\POWERPNT.EXE,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\PowerPoint.lnk,
Rainmeter,C:\Program Files\Rainmeter\Rainmeter.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Rainmeter.lnk,
Safe Exam Browser,C:\Program Files\SafeExamBrowser\Application\SafeExamBrowser.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Safe Exam Browser.lnk,
Sticky Notes (new),C:\Program Files\Microsoft Office\root\Office16\ONENOTE.EXE,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Sticky Notes (new).lnk,
Virtual Assistant,C:\Program Files\ASUS\Virtual Pet\Virtual Pet.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Virtual Assistant.lnk,
Word,C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Word.lnk,
FTK Imager,C:\Program Files\AccessData\FTK Imager\FTK Imager.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\AccessData\FTK Imager\FTK Imager.lnk,
Speech Recognition,C:\WINDOWS\Speech\Common\sapisvr.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessibility\Speech Recognition.lnk,
Remote Desktop Connection,C:\WINDOWS\system32\mstsc.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Remote Desktop Connection.lnk,
Steps Recorder,C:\WINDOWS\system32\psr.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Steps Recorder.lnk,
Windows Fax and Scan,C:\WINDOWS\system32\WFS.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Windows Fax and Scan.lnk,
Windows Media Player Legacy,C:\Program Files (x86)\Windows Media Player\wmplayer.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Windows Media Player Legacy.lnk,
Wordpad,C:\Program Files\Windows NT\Accessories\wordpad.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Wordpad.lnk,
XPS Viewer,C:\WINDOWS\system32\xpsrchvw.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\XPS Viewer.lnk,
Character Map,C:\WINDOWS\system32\charmap.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\System Tools\Character Map.lnk,
Component Services,C:\WINDOWS\system32\comexp.msc,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Component Services.lnk,
Computer Management,C:\WINDOWS\system32\compmgmt.msc,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Computer Management.lnk,
dfrgui,C:\WINDOWS\system32\dfrgui.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\dfrgui.lnk,
Disk Cleanup,C:\WINDOWS\system32\cleanmgr.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Disk Cleanup.lnk,
Event Viewer,C:\WINDOWS\system32\eventvwr.msc,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Event Viewer.lnk,
iSCSI Initiator,C:\WINDOWS\system32\iscsicpl.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\iSCSI Initiator.lnk,
Memory Diagnostics Tool,C:\WINDOWS\system32\MdSched.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Memory Diagnostics Tool.lnk,
ODBC Data Sources (32-bit),C:\WINDOWS\syswow64\odbcad32.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\ODBC Data Sources (32-bit).lnk,
ODBC Data Sources (64-bit),C:\WINDOWS\system32\odbcad32.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\ODBC Data Sources (64-bit).lnk,
Performance Monitor,C:\WINDOWS\system32\perfmon.msc,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Performance Monitor.lnk,
RecoveryDrive,C:\WINDOWS\system32\RecoveryDrive.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\RecoveryDrive.lnk,
Registry Editor,C:\WINDOWS\regedit.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Registry Editor.lnk,
Resource Monitor,C:\WINDOWS\system32\perfmon.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Resource Monitor.lnk,
services,C:\WINDOWS\system32\services.msc,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\services.lnk,
System Configuration,C:\WINDOWS\system32\msconfig.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\System Configuration.lnk,
System Information,C:\WINDOWS\system32\msinfo32.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\System Information.lnk,
Task Scheduler,C:\WINDOWS\system32\taskschd.msc,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Task Scheduler.lnk,
Windows Defender Firewall with Advanced Security,C:\WINDOWS\system32\WF.msc,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Windows Defender Firewall with Advanced Security.lnk,
Autopsy 4.21.0,C:\Program Files\Autopsy-4.21.0\bin\autopsy64.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Autopsy\Autopsy 4.21.0.lnk,
BEViewer with Bulk Extractor 1.5.5 (64-bit),C:\Program Files (x86)\Bulk Extractor 1.5.5\64-bit\BEViewerLauncher.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Bulk Extractor 1.5.5\BEViewer with Bulk Extractor 1.5.5 (64-bit).lnk,
Programmers Manual,C:\Program Files (x86)\Bulk Extractor 1.5.5\pdf\BEProgrammersManual.pdf,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Bulk Extractor 1.5.5\Programmers Manual.lnk,
